"SEQ","VOYTERM","DATETIMEACTUALARRIVAL","DATETIMEACTUALDEPARTURE","WAGON","WAGTYPE","WPOS","ADDRESS_BARGEOPER","COPINOCODELOAD","COPINOCODEDISCHARGE","LOADINGORDISCHARGE","MAXTEU","TARE","LEN","SIZEFT","NRAXES","WAGONMODEL","PAYLOAD"
118585495,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"37804563001-9",SGNSS60,9,$SHUTRO,,MS/10211,L,3,19200,19.64,60,4,TOUAX,70800
118585496,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"33884961140-9",SGGMRSS90,10,$SHUTRO,,MS/10211,L,4.5,27200,29.59,90,6,TOUAX,107800
118585497,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"37804565931-5",SGNSS60,11,$SHUTRO,,MS/10211,L,3,19000,19.74,60,4,ERMEWA,71000
118585498,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"33884961353-8",SGGMRSS90,12,$SHUTRO,,MS/10211,L,4.5,27160,29.59,90,6,TOUAX,107800
118585499,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"37804563047-2",SGNSS60,13,$SHUTRO,,MS/10211,L,3,19200,19.64,60,4,TOUAX,70800
118585500,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"31804563104-7",SGNSS60,14,$SHUTRO,,MS/10211,L,3,19200,19.64,60,4,TOUAX,70800
118585501,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"37804563157-9",SGNSS60,15,$SHUTRO,,MS/10211,L,3,19200,19.64,60,4,TOUAX,70800
118585502,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"31804563165-8",SGNSS60,16,$SHUTRO,,MS/10211,L,3,19200,19.64,60,4,TOUAX,70800
118585503,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"37804565963-8",SGNSS60,17,$SHUTRO,,MS/10211,L,3,19000,19.74,60,4,ERMEWA,71000
118585504,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"33884961196-1",SGGMRSS90,18,$SHUTRO,,MS/10211,L,4.5,27200,29.59,90,6,TOUAX,107800
118585505,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"33874908706-4",SFFGGMRRSS,19,$SHUTRO,,MS/10211,L,6,35560,37.36,106,8,TOUAX,108000
118585506,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"37804563059-7",SGNSS60,20,$SHUTRO,,MS/10211,L,3,19200,19.64,60,4,TOUAX,70800
118585507,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"37804563218-9",SGNSS,21,$SHUTRO,,MS/10211,L,3,,,,,,
118662576,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557892-6",SGNS,1,$SHUTRO,RD/10231,,L,3,,,,,,
118662577,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557216-8",SGNS,2,$SHUTRO,RD/10231,,L,3,,,,,,
118662578,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557228-3",SGNS,3,$SHUTRO,RD/10231,,L,3,,,,,,
118662579,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557603-7",SGNS,4,$SHUTRO,RD/10231,,L,3,,,,,,
118662580,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557054-3",SGNS,5,$SHUTRO,RD/10231,,L,3,,,,,,
118662581,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557928-8",SGNS,6,$SHUTRO,RD/10231,,L,3,,,,,,
118662582,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557180-6",SGNS,7,$SHUTRO,RD/10231,,L,3,,,,,,
118662583,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"37804563041-5",SGNSS,8,$SHUTRO,RD/10231,,L,3,,,,,,
118662584,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33884962535-9",SGGMRSS,9,$SHUTRO,RD/10231,,L,4.5,27200,29.59,90,6,,108000
118662585,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33884962476-6",SGGMRSS,10,$SHUTRO,RD/10231,,L,4.5,27200,29.59,90,6,,108000
118662586,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557797-7",SGNS,11,$SHUTRO,RD/10231,,L,3,,,,,,
118662587,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557732-4",SGNS,12,$SHUTRO,RD/10231,,L,3,,,,,,
118662588,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557772-0",SGNS,13,$SHUTRO,RD/10231,,L,3,,,,,,
118662589,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557886-8",SGNS,14,$SHUTRO,RD/10231,,L,3,,,,,,
118662590,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33884961598-8",Sggmrs90,15,$SHUTRO,RD/10231,,L,4.5,27200,,,,,
118662591,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33684953833-3",SGGMRS,16,$SHUTRO,RD/10231,,L,4.5,,,,,,
118662592,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33884961379-3",SGGMRS,17,$SHUTRO,RD/10231,,L,4.5,,,,,,
118662593,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33684953960-4",SGGMRS,18,$SHUTRO,RD/10231,,L,4.5,,,,,,
118662594,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557622-7",SGNS,19,$SHUTRO,RD/10231,,L,3,,,,,,
118662595,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557629-2",SGNS,20,$SHUTRO,RD/10231,,L,3,,,,,,
118662596,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33684953862-2",SGGMRS,21,$SHUTRO,RD/10231,,L,4.5,,,,,,
118662597,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"33534557208-5",SGNS,22,$SHUTRO,RD/10231,,L,3,,,,,,
118662598,CTTROT20210113DOURGES,2021-01-13 11:30:00,2021-01-13 16:55:00,"37804565958-8",SGNSS60,23,$SHUTRO,RD/10231,,L,3,19000,19.74,60,4,ERMEWA,71000
118751193,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557892-6",SGNS,1,$SHUTRO,,DR/10251,L,3,,,,,,
118751194,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557216-8",SGNS,2,$SHUTRO,,DR/10251,L,3,,,,,,
118751195,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557228-3",SGNS,3,$SHUTRO,,DR/10251,L,3,,,,,,
118751196,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557603-7",SGNS,4,$SHUTRO,,DR/10251,L,3,,,,,,
118751197,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557054-3",SGNS,5,$SHUTRO,,DR/10251,L,3,,,,,,
118751198,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557928-8",SGNS,6,$SHUTRO,,DR/10251,L,3,,,,,,
118751199,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557180-6",SGNS,7,$SHUTRO,,DR/10251,L,3,,,,,,
118751200,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"37804563041-5",SGNSS,8,$SHUTRO,,DR/10251,L,3,,,,,,
118751201,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33884962535-9",SGGMRSS,9,$SHUTRO,,DR/10251,L,4.5,27200,29.59,90,6,,108000
118751202,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33884962476-6",SGGMRSS,10,$SHUTRO,,DR/10251,L,4.5,27200,29.59,90,6,,108000
118751203,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557797-7",SGNS,11,$SHUTRO,,DR/10251,L,3,,,,,,
118751204,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557732-4",SGNS,12,$SHUTRO,,DR/10251,L,3,,,,,,
118751205,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557772-0",SGNS,13,$SHUTRO,,DR/10251,L,3,,,,,,
118751206,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557886-8",SGNS,14,$SHUTRO,,DR/10251,L,3,,,,,,
118751207,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33884961598-8",Sggmrs90,15,$SHUTRO,,DR/10251,L,4.5,27200,,,,,
118751208,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33684953833-3",SGGMRS,16,$SHUTRO,,DR/10251,L,4.5,,,,,,
118751209,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33884961379-3",SGGMRS,17,$SHUTRO,,DR/10251,L,4.5,,,,,,
118751210,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33684953960-4",SGGMRS,18,$SHUTRO,,DR/10251,L,4.5,,,,,,
118751211,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557622-7",SGNS,19,$SHUTRO,,DR/10251,L,3,,,,,,
118751212,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557629-2",SGNS,20,$SHUTRO,,DR/10251,L,3,,,,,,
118751213,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33684953862-2",SGGMRS,21,$SHUTRO,,DR/10251,L,4.5,,,,,,
118751214,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"33534557208-5",SGNS,22,$SHUTRO,,DR/10251,L,3,,,,,,
118751215,CTTROT20210115DOURGES,2021-01-15 11:08:00,2021-01-15 12:37:00,"37804565958-8",SGNSS60,23,$SHUTRO,,DR/10251,L,3,19000,19.74,60,4,ERMEWA,71000
118795784,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"37804563157-9",SGNSS60,1,$SHUTRO,SM/10231,,L,3,19200,19.64,60,4,TOUAX,70800
118795785,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"31804563165-8",SGNSS60,2,$SHUTRO,SM/10231,,L,3,19200,19.64,60,4,TOUAX,70800
118795786,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"37804565963-8",SGNSS60,3,$SHUTRO,SM/10231,,L,3,19000,19.74,60,4,ERMEWA,71000
118795787,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"33884961196-1",SGGMRSS90,4,$SHUTRO,SM/10231,,L,4.5,27200,29.59,90,6,TOUAX,107800
118795788,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"33874908706-4",SFFGGMRRSS,5,$SHUTRO,SM/10231,,L,6,35560,37.36,106,8,TOUAX,108000
118795789,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"37804563059-7",SGNSS60,6,$SHUTRO,SM/10231,,L,3,19200,19.64,60,4,TOUAX,70800
118795790,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"37804563218-9",SGNSS,7,$SHUTRO,SM/10231,,L,3,,,,,,
118795791,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"33884961336-3",SGGMRSS90,8,$SHUTRO,SM/10231,,L,4.5,27200,29.59,90,6,TOUAX,107800
118795792,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"37804565955-4",SGNSS60,9,$SHUTRO,SM/10231,,L,3,19000,19.74,60,4,ERMEWA,71000
118795793,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"33534557885-0",SGNSS60,10,$SHUTRO,SM/10231,,L,3,19200,19.64,60,4,TOUAX,70800
118795794,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"37804563066-2",SGNSS60,11,$SHUTRO,SM/10231,,L,3,19200,19.64,60,4,TOUAX,70800
118795795,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"33534557756-3",SGNSS60,12,$SHUTRO,SM/10231,,L,3,19200,19.64,60,4,TOUAX,70800
118795796,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"37804563084-5",SGNSS60,13,$SHUTRO,SM/10231,,L,3,19200,19.64,60,4,TOUAX,70800
118795797,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"37804563129-8",SGNSS60,14,$SHUTRO,SM/10231,,L,3,19200,19.64,60,4,TOUAX,70800
118795798,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"33884962366-9",SGGMRSS90,15,$SHUTRO,SM/10231,,L,4.5,27200,29.59,90,6,TOUAX,170800
118795799,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"37804563001-9",SGNSS60,16,$SHUTRO,SM/10231,,L,3,19200,19.64,60,4,TOUAX,70800
118795800,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"33884961140-9",SGGMRSS90,17,$SHUTRO,SM/10231,,L,4.5,27200,29.59,90,6,TOUAX,107800
118795801,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"37804565931-5",SGNSS60,18,$SHUTRO,SM/10231,,L,3,19000,19.74,60,4,ERMEWA,71000
118795802,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"33884961353-8",SGGMRSS90,19,$SHUTRO,SM/10231,,L,4.5,27160,29.59,90,6,TOUAX,107800
118795803,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"37804563047-2",SGNSS60,20,$SHUTRO,SM/10231,,L,3,19200,19.64,60,4,TOUAX,70800
118795804,CTTROT20210113MORTARA,2021-01-13 21:00:00,2021-01-13 23:30:00,"31804563104-7",SGNSS60,21,$SHUTRO,SM/10231,,L,3,19200,19.64,60,4,TOUAX,70800
118795856,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804563063-9",SGNSS60,1,$SHUTRO,SM/10211,MS/00141,L,3,19200,19.64,60,4,TOUAX,70800
118795857,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804563156-1",SGNSS60,2,$SHUTRO,SM/10211,MS/00141,L,3,19200,19.64,60,4,TOUAX,70800
118795858,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804565922-4",SGNSS60,3,$SHUTRO,SM/10211,MS/00141,L,3,19000,19.74,60,4,ERMEWA,71000
118795859,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"33884962364-4",SGGMRSS90,4,$SHUTRO,SM/10211,MS/00141,L,4.5,27200,29.59,90,6,TOUAX,107800
118795860,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"33884961177-1",SGGMRS104S90,5,$SHUTRO,SM/10211,MS/00141,L,4.5,,,,,,
118795861,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"33874908316-2",SFFGGMRRSS,6,$SHUTRO,SM/10211,MS/00141,L,6,36000,37.34,106,8,TOUAX,108000
118795862,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"33884962405-5",SGGMRSS90,7,$SHUTRO,SM/10211,MS/00141,L,4.5,27200,29.59,90,6,TOUAX,107800
118795863,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804563071-2",SGNSS60,8,$SHUTRO,SM/10211,MS/00141,L,3,19200,19.64,60,4,TOUAX,70800
118795864,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804565991-9",SGNSS60,9,$SHUTRO,SM/10211,MS/00141,L,3,19000,19.74,60,4,ERMEWA,71000
118795865,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804563162-9",SGNSS60,10,$SHUTRO,SM/10211,MS/00141,L,3,19200,19.64,60,4,TOUAX,70800
118795866,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804565949-7",SGNSS60,11,$SHUTRO,SM/10211,MS/00141,L,3,19000,19.74,60,4,ERMEWA,71000
118795867,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804563183-5",SGNSS60,12,$SHUTRO,SM/10211,MS/00141,L,3,19200,19.64,60,4,TOUAX,70800
118795868,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804565988-5",SGNSS60,13,$SHUTRO,SM/10211,MS/00141,L,3,19000,19.74,60,4,ERMEWA,71000
118795869,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804565976-0",SGNSS60,14,$SHUTRO,SM/10211,MS/00141,L,3,19000,19.74,60,4,ERMEWA,71000
118795870,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804565923-2",SGNSS60,15,$SHUTRO,SM/10211,MS/00141,L,3,19000,19.74,60,4,ERMEWA,71000
118795871,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804563120-7",SGNSS60,16,$SHUTRO,SM/10211,MS/00141,L,3,19200,19.64,60,4,TOUAX,70800
118795872,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"31804563138-5",SGNSS60,17,$SHUTRO,SM/10211,MS/00141,L,3,19200,19.64,60,4,TOUAX,70800
118795873,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"33884962425-3",SGGMRSS90,18,$SHUTRO,SM/10211,MS/00141,L,4.5,27200,29.59,90,6,TOUAX,107800
118795874,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"33884962352-9",SGGMRSS90,19,$SHUTRO,SM/10211,MS/00141,L,4.5,27200,29.59,90,6,TOUAX,108000
118795875,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"37804565932-3",SGNSS60,20,$SHUTRO,SM/10211,MS/00141,L,3,19000,19.74,60,4,ERMEWA,71000
118795876,CTTROT20210111MORTARA,2021-01-11 17:00:00,2021-01-11 20:51:00,"33884961146-6",SGGMRSS90,21,$SHUTRO,SM/10211,MS/00141,L,4.5,27200,29.59,90,6,TOUAX,107800
118796382,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"31804563138-5",SGNSS60,1,$SHUTRO,SM/10251,,L,3,19200,19.64,60,4,TOUAX,70800
118796383,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"33884962425-3",SGGMRSS90,2,$SHUTRO,SM/10251,,L,4.5,27200,29.59,90,6,TOUAX,107800
118796384,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"33884962352-9",SGGMRSS90,3,$SHUTRO,SM/10251,,L,4.5,27200,29.59,90,6,TOUAX,108000
118796385,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804565932-3",SGNSS60,4,$SHUTRO,SM/10251,,L,3,19000,19.74,60,4,ERMEWA,71000
118796386,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"33884961146-6",SGGMRSS90,5,$SHUTRO,SM/10251,,L,4.5,27200,29.59,90,6,TOUAX,107800
118796387,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804563063-9",SGNSS60,6,$SHUTRO,SM/10251,,L,3,19200,19.64,60,4,TOUAX,70800
118796388,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804563156-1",SGNSS60,7,$SHUTRO,SM/10251,,L,3,19200,19.64,60,4,TOUAX,70800
118796389,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"37804565922-4",SGNSS60,8,$SHUTRO,SM/10251,,L,3,19000,19.74,60,4,ERMEWA,71000
118796390,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"33884962364-4",SGGMRSS90,9,$SHUTRO,SM/10251,,L,4.5,27200,29.59,90,6,TOUAX,107800
118796391,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"33884961177-1",SGGMRS104S90,10,$SHUTRO,SM/10251,,L,4.5,,,,,,
118796392,CTTROT20210115MORTARA,2021-01-15 18:50:00,2021-01-15 22:45:00,"33874908316-2",SFFGGMRRSS,11,$SHUTRO,SM/10251,,L,6,36000,37.34,106,8,TOUAX,108000
